id_a,id_b,decision
1,2,same
1,3,same
1,4,same
1,5,same
1,6,same
1,7,same
1,8,same
1,9,same
1,10,same
1,11,same
1,12,same
1,13,same
1,14,same
1,15,same
1,16,same
1,17,same
1,18,same
1,19,same
1,20,same
1,21,same
1,22,same
1,23,same
1,24,same
1,25,same
1,26,same
1,27,same
1,28,same
1,29,same
1,30,same
1,31,same
1,32,same
1,33,same
1,34,same
1,35,same
1,36,same
1,37,same
1,38,same
1,39,same
1,40,same
1,41,same
1,42,same
1,43,same
1,44,same
1,45,same
1,46,same
1,47,same
1,48,same
1,49,same
1,50,same
1,51,same
1,52,same
1,53,same
1,54,same
1,55,same
1,56,same
1,57,same
1,58,same
1,59,same
2,3,same
2,4,same
2,5,same
2,6,same
2,7,same
2,8,same
2,9,same
2,10,same
2,11,same
2,12,same
2,13,same
2,14,same
2,15,same
2,16,same
2,17,same
2,18,same
2,19,same
2,20,same
2,21,same
2,22,same
2,23,same
2,24,same
2,25,same
2,26,same
2,27,same
2,28,same
2,29,same
2,30,same
2,31,same
2,32,same
2,33,same
2,34,same
2,35,same
2,36,same
2,37,same
2,38,same
2,39,same
2,40,same
2,41,same
2,42,same
2,43,same
2,44,same
2,45,same
2,46,same
2,47,same
2,48,same
2,49,same
2,50,same
2,51,same
2,52,same
2,53,same
2,54,same
2,55,same
2,56,same
2,57,same
2,58,same
2,59,same
3,4,same
3,5,same
3,6,same
3,7,same
3,8,same
3,9,same
3,10,same
3,11,same
3,12,same
3,13,same
3,14,same
3,15,same
3,16,same
3,17,same
3,18,same
3,19,same
3,20,same
3,21,same
3,22,same
3,23,same
3,24,same
3,25,same
3,26,same
3,27,same
3,28,same
3,29,same
3,30,same
3,31,same
3,32,same
3,33,same
3,34,same
3,35,same
3,36,same
3,37,same
3,38,same
3,39,same
3,40,same
3,41,same
3,42,same
3,43,same
3,44,same
3,45,same
3,46,same
3,47,same
3,48,same
3,49,same
3,50,same
3,51,same
3,52,same
3,53,same
3,54,same
3,55,same
3,56,same
3,57,same
3,58,same
3,59,same
4,5,same
4,6,same
4,7,same
4,8,same
4,9,same
4,10,same
4,11,same
4,12,same
4,13,same
4,14,same
4,15,same
4,16,same
4,17,same
4,18,same
4,19,same
4,20,same
4,21,same
4,22,same
4,23,same
4,24,same
4,25,same
4,26,same
4,27,same
4,28,same
4,29,same
4,30,same
4,31,same
4,32,same
4,33,same
4,34,same
4,35,same
4,36,same
4,37,same
4,38,same
4,39,same
4,40,same
4,41,same
4,42,same
4,43,same
4,44,same
4,45,same
4,46,same
4,47,same
4,48,same
4,49,same
4,50,same
4,51,same
4,52,same
4,53,same
4,54,same
4,55,same
4,56,same
4,57,same
4,58,same
4,59,same
5,6,same
5,7,same
5,8,same
5,9,same
5,10,same
5,11,same
5,12,same
5,13,same
5,14,same
5,15,same
5,16,same
5,17,same
5,18,same
5,19,same
5,20,same
5,21,same
5,22,same
5,23,same
5,24,same
5,25,same
5,26,same
5,27,same
5,28,same
5,29,same
5,30,same
5,31,same
5,32,same
5,33,same
5,34,same
5,35,same
5,36,same
5,37,same
5,38,same
5,39,same
5,40,same
5,41,same
5,42,same
5,43,same
5,44,same
5,45,same
5,46,same
5,47,same
5,48,same
5,49,same
5,50,same
5,51,same
5,52,same
5,53,same
5,54,same
5,55,same
5,56,same
5,57,same
5,58,same
5,59,same
6,7,same
6,8,same
6,9,same
6,10,same
6,11,same
6,12,same
6,13,same
6,14,same
6,15,same
6,16,same
6,17,same
6,18,same
6,19,same
6,20,same
6,21,same
6,22,same
6,23,same
6,24,same
6,25,same
6,26,same
6,27,same
6,28,same
6,29,same
6,30,same
6,31,same
6,32,same
6,33,same
6,34,same
6,35,same
6,36,same
6,37,same
6,38,same
6,39,same
6,40,same
6,41,same
6,42,same
6,43,same
6,44,same
6,45,same
6,46,same
6,47,same
6,48,same
6,49,same
6,50,same
6,51,same
6,52,same
6,53,same
6,54,same
6,55,same
6,56,same
6,57,same
6,58,same
6,59,same
7,8,same
7,9,same
7,10,same
7,11,same
7,12,same
7,13,same
7,14,same
7,15,same
7,16,same
7,17,same
7,18,same
7,19,same
7,20,same
7,21,same
7,22,same
7,23,same
7,24,same
7,25,same
7,26,same
7,27,same
7,28,same
7,29,same
7,30,same
7,31,same
7,32,same
7,33,same
7,34,same
7,35,same
7,36,same
7,37,same
7,38,same
7,39,same
7,40,same
7,41,same
7,42,same
7,43,same
7,44,same
7,45,same
7,46,same
7,47,same
7,48,same
7,49,same
7,50,same
7,51,same
7,52,same
7,53,same
7,54,same
7,55,same
7,56,same
7,57,same
7,58,same
7,59,same
8,9,same
8,10,same
8,11,same
8,12,same
8,13,same
8,14,same
8,15,same
8,16,same
8,17,same
8,18,same
8,19,same
8,20,same
8,21,same
8,22,same
8,23,same
8,24,same
8,25,same
8,26,same
8,27,same
8,28,same
8,29,same
8,30,same
8,31,same
8,32,same
8,33,same
8,34,same
8,35,same
8,36,same
8,37,same
8,38,same
8,39,same
8,40,same
8,41,same
8,42,same
8,43,same
8,44,same
8,45,same
8,46,same
8,47,same
8,48,same
8,49,same
8,50,same
8,51,same
8,52,same
8,53,same
8,54,same
8,55,same
8,56,same
8,57,same
8,58,same
8,59,same
9,10,same
9,11,same
9,12,same
9,13,same
9,14,same
9,15,same
9,16,same
9,17,same
9,18,same
9,19,same
9,20,same
9,21,same
9,22,same
9,23,same
9,24,same
9,25,same
9,26,same
9,27,same
9,28,same
9,29,same
9,30,same
9,31,same
9,32,same
9,33,same
9,34,same
9,35,same
9,36,same
9,37,same
9,38,same
9,39,same
9,40,same
9,41,same
9,42,same
9,43,same
9,44,same
9,45,same
9,46,same
9,47,same
9,48,same
9,49,same
9,50,same
9,51,same
9,52,same
9,53,same
9,54,same
9,55,same
9,56,same
9,57,same
9,58,same
9,59,same
10,11,same
10,12,same
10,13,same
10,14,same
10,15,same
10,16,same
10,17,same
10,18,same
10,19,same
10,20,same
10,21,same
10,22,same
10,23,same
10,24,same
10,25,same
10,26,same
10,27,same
10,28,same
10,29,same
10,30,same
10,31,same
10,32,same
10,33,same
10,34,same
10,35,same
10,36,same
10,37,same
10,38,same
10,39,same
10,40,same
10,41,same
10,42,same
10,43,same
10,44,same
10,45,same
10,46,same
10,47,same
10,48,same
10,49,same
10,50,same
10,51,same
10,52,same
10,53,same
10,54,same
10,55,same
10,56,same
10,57,same
10,58,same
10,59,same
11,12,same
11,13,same
11,14,same
11,15,same
11,16,same
11,17,same
11,18,same
11,19,same
11,20,same
11,21,same
11,22,same
11,23,same
11,24,same
11,25,same
11,26,same
11,27,same
11,28,same
11,29,same
11,30,same
11,31,same
11,32,same
11,33,same
11,34,same
11,35,same
11,36,same
11,37,same
11,38,same
11,39,same
11,40,same
11,41,same
11,42,same
11,43,same
11,44,same
11,45,same
11,46,same
11,47,same
11,48,same
11,49,same
11,50,same
11,51,same
11,52,same
11,53,same
11,54,same
11,55,same
11,56,same
11,57,same
11,58,same
11,59,same
12,13,same
12,14,same
12,15,same
12,16,same
12,17,same
12,18,same
12,19,same
12,20,same
12,21,same
12,22,same
12,23,same
12,24,same
12,25,same
12,26,same
12,27,same
12,28,same
12,29,same
12,30,same
12,31,same
12,32,same
12,33,same
12,34,same
12,35,same
12,36,same
12,37,same
12,38,same
12,39,same
12,40,same
12,41,same
12,42,same
12,43,same
12,44,same
12,45,same
12,46,same
12,47,same
12,48,same
12,49,same
12,50,same
12,51,same
12,52,same
12,53,same
12,54,same
12,55,same
12,56,same
12,57,same
12,58,same
12,59,same
13,14,same
13,15,same
13,16,same
13,17,same
13,18,same
13,19,same
13,20,same
13,21,same
13,22,same
13,23,same
13,24,same
13,25,same
13,26,same
13,27,same
13,28,same
13,29,same
13,30,same
13,31,same
13,32,same
13,33,same
13,34,same
13,35,same
13,36,same
13,37,same
13,38,same
13,39,same
13,40,same
13,41,same
13,42,same
13,43,same
13,44,same
13,45,same
13,46,same
13,47,same
13,48,same
13,49,same
13,50,same
13,51,same
13,52,same
13,53,same
13,54,same
13,55,same
13,56,same
13,57,same
13,58,same
13,59,same
14,15,same
14,16,same
14,17,same
14,18,same
14,19,same
14,20,same
14,21,same
14,22,same
14,23,same
14,24,same
14,25,same
14,26,same
14,27,same
14,28,same
14,29,same
14,30,same
14,31,same
14,32,same
14,33,same
14,34,same
14,35,same
14,36,same
14,37,same
14,38,same
14,39,same
14,40,same
14,41,same
14,42,same
14,43,same
14,44,same
14,45,same
14,46,same
14,47,same
14,48,same
14,49,same
14,50,same
14,51,same
14,52,same
14,53,same
14,54,same
14,55,same
14,56,same
14,57,same
14,58,same
14,59,same
15,16,same
15,17,same
15,18,same
15,19,same
15,20,same
15,21,same
15,22,same
15,23,same
15,24,same
15,25,same
15,26,same
15,27,same
15,28,same
15,29,same
15,30,same
15,31,same
15,32,same
15,33,same
15,34,same
15,35,same
15,36,same
15,37,same
15,38,same
15,39,same
15,40,same
15,41,same
15,42,same
15,43,same
15,44,same
15,45,same
15,46,same
15,47,same
15,48,same
15,49,same
15,50,same
15,51,same
15,52,same
15,53,same
15,54,same
15,55,same
15,56,same
15,57,same
15,58,same
15,59,same
16,17,same
16,18,same
16,19,same
16,20,same
16,21,same
16,22,same
16,23,same
16,24,same
16,25,same
16,26,same
16,27,same
16,28,same
16,29,same
16,30,same
16,31,same
16,32,same
16,33,same
16,34,same
16,35,same
16,36,same
16,37,same
16,38,same
16,39,same
16,40,same
16,41,same
16,42,same
16,43,same
16,44,same
16,45,same
16,46,same
16,47,same
16,48,same
16,49,same
16,50,same
16,51,same
16,52,same
16,53,same
16,54,same
16,55,same
16,56,same
16,57,same
16,58,same
16,59,same
17,18,same
17,19,same
17,20,same
17,21,same
17,22,same
17,23,same
17,24,same
17,25,same
17,26,same
17,27,same
17,28,same
17,29,same
17,30,same
17,31,same
17,32,same
17,33,same
17,34,same
17,35,same
17,36,same
17,37,same
17,38,same
17,39,same
17,40,same
17,41,same
17,42,same
17,43,same
17,44,same
17,45,same
17,46,same
17,47,same
17,48,same
17,49,same
17,50,same
17,51,same
17,52,same
17,53,same
17,54,same
17,55,same
17,56,same
17,57,same
17,58,same
17,59,same
18,19,same
18,20,same
18,21,same
18,22,same
18,23,same
18,24,same
18,25,same
18,26,same
18,27,same
18,28,same
18,29,same
18,30,same
18,31,same
18,32,same
18,33,same
18,34,same
18,35,same
18,36,same
18,37,same
18,38,same
18,39,same
18,40,same
18,41,same
18,42,same
18,43,same
18,44,same
18,45,same
18,46,same
18,47,same
18,48,same
18,49,same
18,50,same
18,51,same
18,52,same
18,53,same
18,54,same
18,55,same
18,56,same
18,57,same
18,58,same
18,59,same
19,20,same
19,21,same
19,22,same
19,23,same
19,24,same
19,25,same
19,26,same
19,27,same
19,28,same
19,29,same
19,30,same
19,31,same
19,32,same
19,33,same
19,34,same
19,35,same
19,36,same
19,37,same
19,38,same
19,39,same
19,40,same
19,41,same
19,42,same
19,43,same
19,44,same
19,45,same
19,46,same
19,47,same
19,48,same
19,49,same
19,50,same
19,51,same
19,52,same
19,53,same
19,54,same
19,55,same
19,56,same
19,57,same
19,58,same
19,59,same
20,21,same
20,22,same
20,23,same
20,24,same
20,25,same
20,26,same
20,27,same
20,28,same
20,29,same
20,30,same
20,31,same
20,32,same
20,33,same
20,34,same
20,35,same
20,36,same
20,37,same
20,38,same
20,39,same
20,40,same
20,41,same
20,42,same
20,43,same
20,44,same
20,45,same
20,46,same
20,47,same
20,48,same
20,49,same
20,50,same
20,51,same
20,52,same
20,53,same
20,54,same
20,55,same
20,56,same
20,57,same
20,58,same
20,59,same
21,22,same
21,23,same
21,24,same
21,25,same
21,26,same
21,27,same
21,28,same
21,29,same
21,30,same
21,31,same
21,32,same
21,33,same
21,34,same
21,35,same
21,36,same
21,37,same
21,38,same
21,39,same
21,40,same
21,41,same
21,42,same
21,43,same
21,44,same
21,45,same
21,46,same
21,47,same
21,48,same
21,49,same
21,50,same
21,51,same
21,52,same
21,53,same
21,54,same
21,55,same
21,56,same
21,57,same
21,58,same
21,59,same
22,23,same
22,24,same
22,25,same
22,26,same
22,27,same
22,28,same
22,29,same
22,30,same
22,31,same
22,32,same
22,33,same
22,34,same
22,35,same
22,36,same
22,37,same
22,38,same
22,39,same
22,40,same
22,41,same
22,42,same
22,43,same
22,44,same
22,45,same
22,46,same
22,47,same
22,48,same
22,49,same
22,50,same
22,51,same
22,52,same
22,53,same
22,54,same
22,55,same
22,56,same
22,57,same
22,58,same
22,59,same
23,24,same
23,25,same
23,26,same
23,27,same
23,28,same
23,29,same
23,30,same
23,31,same
23,32,same
23,33,same
23,34,same
23,35,same
23,36,same
23,37,same
23,38,same
23,39,same
23,40,same
23,41,same
23,42,same
23,43,same
23,44,same
23,45,same
23,46,same
23,47,same
23,48,same
23,49,same
23,50,same
23,51,same
23,52,same
23,53,same
23,54,same
23,55,same
23,56,same
23,57,same
23,58,same
23,59,same
24,25,same
24,26,same
24,27,same
24,28,same
24,29,same
24,30,same
24,31,same
24,32,same
24,33,same
24,34,same
24,35,same
24,36,same
24,37,same
24,38,same
