id,name,review
1,AJ HOME SERVICES,yes
2,David Okafor JR.,no
3,E-Z Storage,no
4,Town & Country Realty,no
5,A-1 Auto Repair,no
6,Northwind Traders LLC,no
7,ANNA VAN DER BERG,yes
8,JOSÉ DE LA CRUZ,yes
9,Sean O'Neill,no
10,-,no
11,3RD Street Deli,no
12,James T. Morrow,no
13,MCMASTER TOOL CO,yes
14,Bob's Bike Shop,no
15,LEE-ANN SMITH-JONES,yes
16,Acme Widgets,no
17,Van Houten Bakery,no
18,DR. AMY CHEN,yes
19,Maria Gonzalez,no
20,Mary O'Brien,no
21,JKL Consulting Group,no
22,Mack's Diner,no
23,D'Arcy Flynn,no
24,MACHINE TOOLS OF OHIO INC,yes
25,Angus MacDonald,no
26,Harbor Light Legal PC,no
27,QRS Logistics,no
28,JAMAL AL-SAYED,yes
29,McDonald Farms,no
30,O'MALLEY'S PUB,yes
31,The Cedar Room,no
32,Blue River Bakery,no
33,Søren KJÆR,no
34,Fiona MacKenzie,no
35,MARIA DI NAPOLI,yes
36,Acme Widgets Inc,no
37,Smith and Sons Hardware,no
38,Kate McCarthy,no
39,FOR PAWS PET CARE,yes
40,Macy Graham,no
41,21ST Century Plumbing,no
42,"O'Connor, Patrick",no
43,n/a,no
44,John McDonald,no
45,Amy CHEN,no
46,U.S. FREIGHT BROKERS,yes
47,Élodie Marchand,no
48,Globex Corporation of America,no
49,DataBridge Analytics,no
50,Ezone Games,no
51,HENRY WALLACE III,yes
52,BAY AREA HVAC SERVICES,yes
53,,no
