id,name
1,AJ HOME SERVICES
2,DAVID OKAFOR JR.
3,E-Z STORAGE
4,TOWN & COUNTRY REALTY
5,A-1 AUTO REPAIR
6,NORTHWIND TRADERS LLC
7,ANNA VAN DER BERG
8,JOSÉ DE LA CRUZ
9,SEAN O'NEILL
10,-
11,3RD STREET DELI
12,JAMES T. MORROW
13,MCMASTER TOOL CO
14,BOB'S BIKE SHOP
15,LEE-ANN SMITH-JONES
16,Acme Widgets
17,van Houten Bakery
18,DR. AMY CHEN
19,maria gonzalez
20,MARY O'BRIEN
21,JKL CONSULTING GROUP
22,MACK'S DINER
23,D'ARCY FLYNN
24,MACHINE TOOLS OF OHIO INC
25,ANGUS MACDONALD
26,HARBOR LIGHT LEGAL PC
27,QRS LOGISTICS
28,JAMAL AL-SAYED
29,McDonald Farms
30,O'MALLEY'S PUB
31,THE CEDAR ROOM
32,blue river bakery
33,SØREN KJÆR
34,FIONA MACKENZIE
35,MARIA DI NAPOLI
36,ACME WIDGETS INC
37,SMITH AND SONS HARDWARE
38,KATE MCCARTHY
39,FOR PAWS PET CARE
40,MACY GRAHAM
41,21ST CENTURY PLUMBING
42,"o'connor, patrick"
43,n/a
44,JOHN MCDONALD
45,amy CHEN
46,U.S. FREIGHT BROKERS
47,ÉLODIE MARCHAND
48,GLOBEX CORPORATION OF AMERICA
49,DataBridge Analytics
50,eZone Games
51,HENRY WALLACE III
52,BAY AREA HVAC SERVICES
53,
