id,name,review
1,AJ HOME SERVICES,no
2,DAVID OKAFOR JR.,no
3,E-Z STORAGE,no
4,TOWN & COUNTRY REALTY,no
5,A-1 AUTO REPAIR,no
6,NORTHWIND TRADERS LLC,no
7,ANNA VAN DER BERG,no
8,JOSÉ DE LA CRUZ,no
9,SEAN O'NEILL,no
10,-,no
11,3RD STREET DELI,no
12,JAMES T. MORROW,no
13,MCMASTER TOOL CO,no
14,BOB'S BIKE SHOP,no
15,LEE-ANN SMITH-JONES,no
16,Acme Widgets,no
17,van Houten Bakery,no
18,DR. AMY CHEN,no
19,maria gonzalez,no
20,MARY O'BRIEN,no
21,JKL CONSULTING GROUP,no
22,MACK'S DINER,no
23,D'ARCY FLYNN,no
24,MACHINE TOOLS OF OHIO INC,no
25,ANGUS MACDONALD,no
26,HARBOR LIGHT LEGAL PC,no
27,QRS LOGISTICS,no
28,JAMAL AL-SAYED,no
29,McDonald Farms,no
30,O'MALLEY'S PUB,no
31,THE CEDAR ROOM,no
32,blue river bakery,no
33,SØREN KJÆR,no
34,FIONA MACKENZIE,no
35,MARIA DI NAPOLI,no
36,ACME WIDGETS INC,no
37,SMITH AND SONS HARDWARE,no
38,KATE MCCARTHY,no
39,FOR PAWS PET CARE,no
40,MACY GRAHAM,no
41,21ST CENTURY PLUMBING,no
42,"o'connor, patrick",no
43,n/a,no
44,JOHN MCDONALD,no
45,amy CHEN,no
46,U.S. FREIGHT BROKERS,no
47,ÉLODIE MARCHAND,no
48,GLOBEX CORPORATION OF AMERICA,no
49,DataBridge Analytics,no
50,eZone Games,no
51,HENRY WALLACE III,no
52,BAY AREA HVAC SERVICES,no
53,,no
