id,name,review
1,Aj Home Services,no
2,David Okafor Jr.,no
3,E-Z Storage,no
4,Town & Country Realty,no
5,A-1 Auto Repair,no
6,Northwind Traders Llc,no
7,Anna Van Der Berg,no
8,José De La Cruz,no
9,Sean O'Neill,no
10,-,no
11,3Rd Street Deli,no
12,James T. Morrow,no
13,Mcmaster Tool Co,no
14,Bob'S Bike Shop,no
15,Lee-Ann Smith-Jones,no
16,Acme Widgets,no
17,Van Houten Bakery,no
18,Dr. Amy Chen,no
19,Maria Gonzalez,no
20,Mary O'Brien,no
21,Jkl Consulting Group,no
22,Mack'S Diner,no
23,D'Arcy Flynn,no
24,Machine Tools Of Ohio Inc,no
25,Angus Macdonald,no
26,Harbor Light Legal Pc,no
27,Qrs Logistics,no
28,Jamal Al-Sayed,no
29,Mcdonald Farms,no
30,O'Malley'S Pub,no
31,The Cedar Room,no
32,Blue River Bakery,no
33,Søren Kjær,no
34,Fiona Mackenzie,no
35,Maria Di Napoli,no
36,Acme Widgets Inc,no
37,Smith And Sons Hardware,no
38,Kate Mccarthy,no
39,For Paws Pet Care,no
40,Macy Graham,no
41,21St Century Plumbing,no
42,"O'Connor, Patrick",no
43,N/A,no
44,John Mcdonald,no
45,Amy Chen,no
46,U.S. Freight Brokers,no
47,Élodie Marchand,no
48,Globex Corporation Of America,no
49,Databridge Analytics,no
50,Ezone Games,no
51,Henry Wallace Iii,no
52,Bay Area Hvac Services,no
53,,no
