id,name,review
1,Globex Corporation of America,no
2,U.S. Freight Brokers,no
3,Harbor Light Legal PC,no
4,FIONA MACKENZIE,yes
5,McMaster Tool Co,no
6,Blue River Bakery,no
7,Northwind Traders LLC,no
8,Bay Area HVAC Services,no
9,"O'Connor, Patrick",no
10,Kate McCarthy,no
11,For Paws Pet Care,no
12,,no
13,A-1 Auto Repair,no
14,Mary O'Brien,no
15,ANNA VAN DER BERG,yes
16,O'Malley's Pub,no
17,JKL Consulting Group,no
18,ANGUS MACDONALD,yes
19,Søren Kjær,no
20,JOSÉ DE LA CRUZ,yes
21,Lee-Ann Smith-Jones,no
22,The Cedar Room,no
23,John McDonald,no
24,3rd Street Deli,no
25,Élodie Marchand,no
26,James T. Morrow,no
27,Maria Gonzalez,no
28,E-Z Storage,no
29,David Okafor Jr.,no
30,QRS Logistics,no
31,Sean O'Neill,no
32,Bob's Bike Shop,no
33,van Houten Bakery,no
34,DataBridge Analytics,no
35,Acme Widgets,no
36,Macy Graham,no
37,eZone Games,no
38,D'Arcy Flynn,no
39,Mack's Diner,no
40,Henry Wallace III,no
41,McDonald Farms,no
42,Machine Tools of Ohio Inc,no
43,Dr. Amy Chen,no
44,JAMAL AL-SAYED,yes
45,Town & Country Realty,no
46,Smith and Sons Hardware,no
47,Acme Widgets Inc,no
48,-,no
49,amy CHEN,no
50,21st Century Plumbing,no
51,MARIA DI NAPOLI,yes
52,n/a,no
53,AJ Home Services,no
